"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
12,850;0,56;-0,90;-1,33
12,900;0,51;-0,95;-0,69
12,950;0,46;-0,97;-0,04
13,000;0,41;-0,95;0,56
13,050;0,36;-0,91;1,16
13,100;0,32;-0,84;1,80
13,150;0,28;-0,73;2,43
13,200;0,24;-0,59;2,92
13,250;0,22;-0,43;3,22
13,300;0,20;-0,26;3,36
13,350;0,19;-0,09;3,39
13,400;0,19;0,08;3,38
13,450;0,20;0,24;3,37
13,500;0,22;0,41;3,31
13,550;0,24;0,58;3,05
13,600;0,28;0,73;2,49
13,650;0,32;0,84;1,78
13,700;0,36;0,90;1,13
13,750;0,41;0,95;0,57
13,800;0,46;0,97;0,00
13,850;0,51;0,95;-0,66
13,900;0,55;0,90;-1,30
13,950;0,60;0,82;-1,86
14,000;0,63;0,71;-2,32
14,050;0,67;0,58;-2,69
14,100;0,69;0,44;-2,95
14,150;0,71;0,28;-3,13
14,200;0,72;0,12;-3,23
14,250;0,72;-0,04;-3,26
14,300;0,72;-0,21;-3,20
14,350;0,70;-0,37;-3,05
14,400;0,68;-0,52;-2,82
14,450;0,65;-0,65;-2,49
14,500;0,62;-0,77;-2,07
14,550;0,57;-0,86;-1,53
14,600;0,53;-0,93;-0,91
14,650;0,48;-0,95;-0,28
14,700;0,43;-0,95;0,30
14,750;0,39;-0,92;0,87
14,800;0,34;-0,86;1,50
14,850;0,30;-0,77;2,13
14,900;0,26;-0,65;2,67
14,950;0,23;-0,50;3,07
15,000;0,21;-0,34;3,28
15,050;0,20;-0,17;3,37
15,100;0,19;0,00;3,41
15,150;0,20;0,17;3,46
15,200;0,21;0,35;3,41
15,250;0,23;0,52;3,13
15,300;0,26;0,67;2,64
15,350;0,30;0,79;2,01
15,400;0,34;0,87;1,39
15,450;0,39;0,92;0,82
15,500;0,44;0,95;0,26
15,550;0,48;0,95;-0,37
15,600;0,53;0,92;-1,02
15,650;0,58;0,85;-1,62
15,700;0,62;0,75;-2,11
15,750;0,65;0,63;-2,52
15,800;0,68;0,50;-2,84
15,850;0,70;0,35;-3,07
15,900;0,72;0,19;-3,20
